,frame,intersect,hausdorff_distance,angle,ego_vel_x,ego_vel_y,ego_vel_z,ego_accel_x,ego_accel_y,ego_accel_z,ego_ang_vel_x,ego_ang_vel_y,ego_ang_vel_z,adv_vel_x,adv_vel_y,adv_vel_z,adv_accel_x,adv_accel_y,adv_accel_z,adv_ang_vel_x,adv_ang_vel_y,adv_ang_vel_z
0,1527220,False,50.89821279642266,-33.385136667827354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1527221,False,50.898212405846124,-33.38512078564589,7.41522089811042e-05,-7.066669058986008e-05,-0.0022430801764130592,0.001483044121414423,-0.0014133338117972016,-0.044861603528261185,-0.017684683203697205,-0.023773981258273125,1.3751848655374488e-06,7.737005216768011e-05,3.688052311190404e-05,-0.004819393623620272,0.0015474010724574327,0.0007376104476861656,-0.09638787060976028,-0.00027098224381916225,0.0012430887436494231,9.30805763346143e-05
2,1527222,False,50.89821314681169,-33.38511531535315,7.113524770829827e-05,-3.780667611863464e-05,-0.0005422591930255294,-6.0339225456118584e-05,0.0006572002894245088,0.03401641920208931,-0.00983914639800787,-0.022815829142928123,7.047580083963112e-07,8.206814527511597e-05,2.3221671654027887e-05,-0.0038860333152115345,9.396186214871705e-05,-0.00027317702188156545,0.018667206168174744,-0.0004556305939331651,0.0017231550300493836,9.98543546302244e-05
3,1527223,False,50.8982145274462,-33.38510984506064,6.590247357962653e-05,-3.433611345826648e-05,0.0004003143112640828,-0.00010465548257343471,6.941125320736319e-05,0.018851470202207565,-0.009079973213374615,-0.021125780418515205,5.628435815197008e-07,8.165396866388619e-05,8.627027455077041e-06,-0.0028894722927361727,-8.283532224595547e-06,-0.0002918928803410381,0.019931219518184662,-0.00046173707232810557,0.001500596757978201,9.659725765231997e-05
4,1527224,False,50.89821300356409,-33.38510821284227,5.649555896525271e-05,-3.213202944607474e-05,0.0008225345518440008,-0.00018813829228747636,4.408168024383485e-05,0.008444405160844326,-0.008450346998870373,-0.018093671649694443,5.305439572111936e-07,1.820983743527904e-05,-3.1933186619426124e-06,-0.002003095578402281,-0.0012688826536759734,-0.00023640692234039307,0.017727535218000412,-0.0003443346358835697,0.0016788538778200746,0.00022644457931164652
5,1527225,False,50.89821434950706,-33.38510274254986,4.405218714964576e-05,-2.556867548264563e-05,0.000916871998924762,-0.00024886743631213903,0.00013126707926858217,0.0018867489416152239,-0.006655271165072918,-0.014093984849750996,4.621135474280891e-07,8.96850508524949e-07,-1.293882723985007e-05,-0.0012913590762764215,-0.0003462597378529608,-0.00019491017155814916,0.014234730042517185,-0.0003059190057683736,0.0008926236187107861,0.00025052815908566117
6,1527226,False,50.8982194486394,-33.385096726013415,3.055701745324768e-05,-1.6483931176480837e-05,0.0008305931114591658,-0.0002699033939279616,0.0001816948933992535,-0.001725577749311924,-0.0042195869609713554,-0.009763745591044426,3.917702144917712e-07,9.366398217025562e-07,-2.074330950563308e-05,-0.0007642540149390697,7.957862635521451e-07,-0.00015608964895363897,0.010542101226747036,-0.00017945274885278195,0.000436842383351177,0.00024389488680753857
7,1527227,False,50.89821889442255,-33.38509508466426,1.796855212887749e-05,-7.096432000253117e-06,0.0006633472512476146,-0.00025176932103931904,0.0001877499744296074,-0.003344917204231024,-0.0017594860401004553,-0.005730649456381798,3.208553494005173e-07,1.0056409109893139e-06,-2.6102214178536087e-05,-0.00040078035090118647,1.3800217857351527e-06,-0.00010717809345806018,0.007269473280757666,-0.00012909990618936718,0.00035957989166490734,0.00024277641205117106
8,1527228,False,50.89821889442255,-33.38509508466426,7.752249075565487e-06,6.016720703883038e-07,0.0004792499530594796,-0.00020432606106624007,0.0001539620861876756,-0.0036819460801780224,0.0002455676149111241,-0.0024630625266581774,2.373525376242469e-07,9.769652251634398e-07,-2.951085480162874e-05,-0.00016815942944958806,-5.73513716517482e-07,-6.817281246185303e-05,0.0046524181962013245,-0.0001248529297299683,0.0002594773250166327,0.00024135771673172712
9,1527229,False,50.89821889442255,-33.38509508466426,-3.6501216982287588e-06,8.291306585306302e-06,8.098602120298892e-05,-0.00022804741456639022,0.0001537927018944174,-0.007965277880430222,0.0023127146996557713,0.001182275009341538,1.2474846755594626e-07,1.06397487797949e-06,-3.24092798109632e-05,2.6064953999593854e-05,1.7401930563210044e-06,-5.79685001866892e-05,0.00388448778539896,-4.305220136302523e-05,0.00010614883649395779,0.0002388587745372206
