,0
ego_ang_vel_z,0.0
adv_vel_x,0.0032873376623376626
adv_vel_y,0.0005787037037037037
adv_vel_z,0.01007004893433533
adv_accel_x,0.0007836990595611278
adv_accel_y,0.0
adv_accel_z,0.0
adv_ang_vel_x,0.0
adv_ang_vel_y,0.0
adv_ang_vel_z,0.0
hausdorff_distance,0.12800815686689362
angle,0.0
ego_vel_x,0.0022879015658601367
ego_vel_y,0.0
ego_vel_z,0.0
ego_accel_x,0.0015533625730994151
ego_accel_y,0.002195340501792114
ego_accel_z,0.0
ego_ang_vel_x,0.0
ego_ang_vel_y,0.0018978605935127677
ego_ang_vel_z,0.0
adv_vel_x,0.0007894404446128589
adv_vel_y,0.004444444444444445
adv_vel_z,0.002136752136752137
adv_accel_x,0.0
adv_accel_y,0.0
adv_accel_z,0.0
adv_ang_vel_x,0.0
adv_ang_vel_y,0.0
adv_ang_vel_z,0.0
hausdorff_distance,0.042626011128634816
angle,0.0
ego_vel_x,0.0
ego_vel_y,0.0
ego_vel_z,0.0
ego_accel_x,0.0
ego_accel_y,0.0
ego_accel_z,0.0
ego_ang_vel_x,0.0
ego_ang_vel_y,0.0
ego_ang_vel_z,0.0033156498673740055
adv_vel_x,0.0018993352326685663
adv_vel_y,0.0
adv_vel_z,0.0006864988558352403
adv_accel_x,0.0
adv_accel_y,0.0
adv_accel_z,0.0038888888888888883
adv_ang_vel_x,0.0
adv_ang_vel_y,0.0
adv_ang_vel_z,0.0
